Code,ID,Name,FV,ISIN,Industry,Marketcap
538597,TTIENT,TTI ENTERPRISE LTD,10,INE404F01031,Non Banking Financial Company (NBFC),38.59
507747,TTKHLTCARE,TTK HEALTHCARE LTD,10,INE910C01018,Diversified,2267.49
517506,TTKPRESTIG,TTK PRESTIGE LTD,1,INE690A01028,Household Appliances,9751.5
514236,TTLEL,TTL ENTERPRISES LTD,10,INE664X01025,Trading & Distributors,
540762,TIINDIA,TUBE INVESTMENTS OF INDIA LTD,1,INE974X01010,Auto Components & Equipments,68203.24
524514,TULASEEBIOE,TULASEE BIO-ETHANOL LTD,10,INE276N01011,Commodity Chemicals,12.15
505285,TULIVE,TULIVE DEVELOPERS LIMITED,10,INE637D01015,Industrial Products,127.69
513629,TULSYAN,TULSYAN NEC LTD,10,INE463D01016,Iron & Steel Products,143.21
531411,TUNITEX,TUNI TEXTILE MILLS LTD,1,INE560D01027,Other Textile Products,25.21
506808,TUTIALKA,TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LTD,10,INE400A01014,Commodity Chemicals,1161.7
540083,TVVISION,TV VISION LTD,10,INE871L01013,TV Broadcasting & Software Production,21.31
532800,TV18BRDCST,TV18 BROADCAST LTD,2,INE886H01027,TV Broadcasting & Software Production,8093.49
532513,TVSELECT,TVS ELECTRONICS LTD,10,INE236G01019,Computers Hardware & Equipments,554.75
520056,TVSHLTD,TVS HOLDINGS LTD,5,INE105A01035,Auto Components & Equipments,16808.82
532343,TVSMOTOR,TVS MOTOR COMPANY LTD,1,INE494B01023,2/3 Wheelers,97190.95
509243,TVSSRICHAK,TVS SRICHAKRA LTD,10,INE421C01016,Tyres & Rubber Products,3425.8
543965,TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LTD,1,INE395N01027,Logistics Solution Provider,7689.58
526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD,10,INE253B01015,Other Capital Market related Services,53.48
512117,TWIROST,TWIN ROSES TRADES & AGENCIES LTD,10,INE436U01016,Diversified Commercial Services,0.82
532384,TYCHE,TYCHE INDUSTRIES LTD,10,INE443B01012,Pharmaceuticals,200.8
539468,TFSL,TYPHOON FINANCIAL SERVICES LTD,10,INE761R01013,Non Banking Financial Company (NBFC),5.69
526945,TYROON,TYROON TEA CO.LTD,10,INE945B01016,Tea & Coffee,34.05
541338,UHZAVERI,U. H. ZAVERI LTD,10,INE556Z01010,Gems- Jewellery And Watches,28.9
530579,UYFINCORP,U. Y. FINCORP LTD,5,INE152C01025,Non Banking Financial Company (NBFC),513.45
509960,UPHOT,U.P.HOTELS LTD,10,INE726E01014,Hotels & Resorts,811.65
500464,UCAL,UCAL LTD,10,INE139B01016,Auto Components & Equipments,354.7
532505,UCOBANK,UCO BANK,10,INE691A01018,Public Sector Bank,65913.2
530131,UDAICEMENT,UDAIPUR CEMENT WORKS LTD,4,INE225C01029,Cement & Cement Products,2104.82
539518,UDAYJEW,UDAY JEWELLERY INDUSTRIES LTD,10,INE551B01012,Gems- Jewellery And Watches,379.77
543861,USK,UDAYSHIVAKUMAR INFRA LTD,10,INE0N0Y01013,Civil Construction,316.37
500148,UFLEX,UFLEX LTD,10,INE516A01017,Packaging,3220.27
539141,UFO,UFO MOVIEZ INDIA LTD,10,INE527H01019,Film Production- Distribution & Exhibition,539.75
530363,UGARSUGAR,UGAR SUGAR WORKS LTD,1,INE071E01023,Sugar,883.35
